Run,Protein,Condition,Rep,ext,File,Input,source_name,chip_antibody,GEO_Accession (exp),LibrarySelection,Treatment,Bases,BioProject,BioSample,Bytes,Experiment,Genotype,,Instrument,LibraryLayout,,Organism,Sample Name,SRA Study,Strain,Tissue
SRR5928320,input,WT-tamoxifen,R1,.fastq.gz,input_WT-tamoxifen_R1_SRR5928320.fastq.gz,,Liver,none,GSM2740565,ChIP,tamoxifen,3879717940,PRJNA360958,SAMN07499434,1470412287,SRX3088636,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,NextSeq 500,SINGLE,,Mus musculus,GSM2740565,SRP096571,C57BL/6J,liver
SRR5928321,input,WT-tamoxifen,R1,.fastq.gz,input_WT-tamoxifen_R1_SRR5928321.fastq.gz,,Liver,none,GSM2740565,ChIP,tamoxifen,3115946050,PRJNA360958,SAMN07499434,1300120228,SRX3088636,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,NextSeq 500,SINGLE,,Mus musculus,GSM2740565,SRP096571,C57BL/6J,liver
SRR5928322,input,NIPBLflox-tamoxifen,R1,.fastq.gz,input_NIPBLflox-tamoxifen_R1_SRR5928322.fastq.gz,,Liver,none,GSM2740566,ChIP,tamoxifen,4493604920,PRJNA360958,SAMN07499433,1678237933,SRX3088637,Ttr-cre/Esr1(+/wt);Nipbl(flox/flox),,NextSeq 500,SINGLE,,Mus musculus,GSM2740566,SRP096571,C57BL/6J,liver
SRR5168169,H3K4me3,NIPBLflox-tamoxifen,R1,.fastq.gz,H3K4me3_NIPBLflox-tamoxifen_R1_SRR5168169.fastq.gz,,H3K4me3_NIPBL,"H3K4me3 (Diagenode\, C15410003-50)",GSM2453288,ChIP,tamoxifen,1473299781,PRJNA360958,SAMN06217796,1046450904,SRX2485049,Ttr-cre/Esr1(+/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453288,SRP096571,C57BL/6J,liver
SRR5928314,Rad21,WT-tamoxifen,R1,.fastq.gz,Rad21_WT-tamoxifen_R1_SRR5928314.fastq.gz,,Liver,Rad21 (Abcam ab992),GSM2740561,ChIP,tamoxifen,4106520600,PRJNA360958,SAMN07499438,1745017027,SRX3088632,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,NextSeq 500,SINGLE,,Mus musculus,GSM2740561,SRP096571,C57BL/6J,liver
SRR5928317,Smc3,WT-tamoxifen,R1,.fastq.gz,Smc3_WT-tamoxifen_R1_SRR5928317.fastq.gz,,Liver,Smc3 (Abcam ab9263),GSM2740563,ChIP,tamoxifen,3730933500,PRJNA360958,SAMN07499436,1520906495,SRX3088634,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,NextSeq 500,SINGLE,,Mus musculus,GSM2740563,SRP096571,C57BL/6J,liver
SRR5168172,WT,control,R1,.fastq.gz,WT_control_R1_SRR5168172.fastq.gz,,WT,,GSM2453291,cDNA,none,1338255050,PRJNA360958,SAMN06217793,891857074,SRX2485052,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453291,SRP096571,C57BL/6J,liver
SRR5168173,WT,control,R1,.fastq.gz,WT_control_R1_SRR5168173.fastq.gz,,WT,,GSM2453291,cDNA,none,1337839650,PRJNA360958,SAMN06217793,893653377,SRX2485052,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453291,SRP096571,C57BL/6J,liver
SRR5168175,WT,control,R2,.fastq.gz,WT_control_R2_SRR5168175.fastq.gz,,WT,,GSM2453292,cDNA,none,1676801200,PRJNA360958,SAMN06217792,1097427452,SRX2485053,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453292,SRP096571,C57BL/6J,liver
SRR5168176,WT,control,R3,.fastq.gz,WT_control_R3_SRR5168176.fastq.gz,,WT,,GSM2453293,cDNA,none,1491300150,PRJNA360958,SAMN06217791,978555137,SRX2485054,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453293,SRP096571,C57BL/6J,liver
SRR5168177,WT,control,R3,.fastq.gz,WT_control_R3_SRR5168177.fastq.gz,,WT,,GSM2453293,cDNA,none,1492499450,PRJNA360958,SAMN06217791,980179936,SRX2485054,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453293,SRP096571,C57BL/6J,liver
SRR5168178,WT,control,R4,.fastq.gz,WT_control_R4_SRR5168178.fastq.gz,,WT,,GSM2453294,cDNA,none,1690807400,PRJNA360958,SAMN06217805,1122068697,SRX2485055,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453294,SRP096571,C57BL/6J,liver
SRR5168179,WT,control,R4,.fastq.gz,WT_control_R4_SRR5168179.fastq.gz,,WT,,GSM2453294,cDNA,none,1688872700,PRJNA360958,SAMN06217805,1123542540,SRX2485055,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453294,SRP096571,C57BL/6J,liver
SRR5168180,WT,tamoxifen,R1,.fastq.gz,WT_tamoxifen_R1_SRR5168180.fastq.gz,,TAM,,GSM2453295,cDNA,tamoxifen,951730850,PRJNA360958,SAMN06217812,636296492,SRX2485056,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453295,SRP096571,C57BL/6J,liver
SRR5168181,WT,tamoxifen,R1,.fastq.gz,WT_tamoxifen_R1_SRR5168181.fastq.gz,,TAM,,GSM2453295,cDNA,tamoxifen,949746400,PRJNA360958,SAMN06217812,636828034,SRX2485056,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453295,SRP096571,C57BL/6J,liver
SRR5168182,WT,tamoxifen,R2,.fastq.gz,WT_tamoxifen_R2_SRR5168182.fastq.gz,,TAM,,GSM2453296,cDNA,tamoxifen,1403527150,PRJNA360958,SAMN06217811,932362409,SRX2485057,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453296,SRP096571,C57BL/6J,liver
SRR5168183,WT,tamoxifen,R2,.fastq.gz,WT_tamoxifen_R2_SRR5168183.fastq.gz,,TAM,,GSM2453296,cDNA,tamoxifen,1403025950,PRJNA360958,SAMN06217811,934253377,SRX2485057,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453296,SRP096571,C57BL/6J,liver
SRR5168184,WT,tamoxifen,R3,.fastq.gz,WT_tamoxifen_R3_SRR5168184.fastq.gz,,TAM,,GSM2453297,cDNA,tamoxifen,427654200,PRJNA360958,SAMN06217810,284872204,SRX2485058,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453297,SRP096571,C57BL/6J,liver
SRR5168185,WT,tamoxifen,R3,.fastq.gz,WT_tamoxifen_R3_SRR5168185.fastq.gz,,TAM,,GSM2453297,cDNA,tamoxifen,428167350,PRJNA360958,SAMN06217810,285408818,SRX2485058,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453297,SRP096571,C57BL/6J,liver
SRR5168186,WT,tamoxifen,R4,.fastq.gz,WT_tamoxifen_R4_SRR5168186.fastq.gz,,TAM,,GSM2453298,cDNA,tamoxifen,984782100,PRJNA360958,SAMN06217809,647546754,SRX2485059,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453298,SRP096571,C57BL/6J,liver
SRR5168187,WT,tamoxifen,R4,.fastq.gz,WT_tamoxifen_R4_SRR5168187.fastq.gz,,TAM,,GSM2453298,cDNA,tamoxifen,976366450,PRJNA360958,SAMN06217809,643009625,SRX2485059,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453298,SRP096571,C57BL/6J,liver
SRR5168188,NIPBLflox,tamoxifen,R1,.fastq.gz,NIPBLflox_tamoxifen_R1_SRR5168188.fastq.gz,,NIPBL,,GSM2453299,cDNA,tamoxifen,714855200,PRJNA360958,SAMN06217808,486213617,SRX2485060,Ttr-cre/Esr1(+/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453299,SRP096571,C57BL/6J,liver
SRR5168189,NIPBLflox,tamoxifen,R1,.fastq.gz,NIPBLflox_tamoxifen_R1_SRR5168189.fastq.gz,,NIPBL,,GSM2453299,cDNA,tamoxifen,713370500,PRJNA360958,SAMN06217808,486923434,SRX2485060,Ttr-cre/Esr1(+/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453299,SRP096571,C57BL/6J,liver
SRR5168190,NIPBLflox,tamoxifen,R2,.fastq.gz,NIPBLflox_tamoxifen_R2_SRR5168190.fastq.gz,,NIPBL,,GSM2453300,cDNA,tamoxifen,1500206700,PRJNA360958,SAMN06217807,989480710,SRX2485061,Ttr-cre/Esr1(+/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453300,SRP096571,C57BL/6J,liver
SRR5168191,NIPBLflox,tamoxifen,R2,.fastq.gz,NIPBLflox_tamoxifen_R2_SRR5168191.fastq.gz,,NIPBL,,GSM2453300,cDNA,tamoxifen,1500997600,PRJNA360958,SAMN06217807,990678089,SRX2485061,Ttr-cre/Esr1(+/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453300,SRP096571,C57BL/6J,liver
SRR5168192,NIPBLflox,tamoxifen,R3,.fastq.gz,NIPBLflox_tamoxifen_R3_SRR5168192.fastq.gz,,NIPBL,,GSM2453301,cDNA,tamoxifen,1693488000,PRJNA360958,SAMN06217806,1137992298,SRX2485062,Ttr-cre/Esr1(+/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453301,SRP096571,C57BL/6J,liver
SRR5168193,NIPBLflox,tamoxifen,R3,.fastq.gz,NIPBLflox_tamoxifen_R3_SRR5168193.fastq.gz,,NIPBL,,GSM2453301,cDNA,tamoxifen,1690823650,PRJNA360958,SAMN06217806,1139778032,SRX2485062,Ttr-cre/Esr1(+/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453301,SRP096571,C57BL/6J,liver
SRR5168194,NIPBLflox,tamoxifen,R4,.fastq.gz,NIPBLflox_tamoxifen_R4_SRR5168194.fastq.gz,,NIPBL,,GSM2453302,cDNA,tamoxifen,1569836450,PRJNA360958,SAMN06217790,1034313773,SRX2485063,Ttr-cre/Esr1(+/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453302,SRP096571,C57BL/6J,liver
SRR5168195,NIPBLflox,tamoxifen,R4,.fastq.gz,NIPBLflox_tamoxifen_R4_SRR5168195.fastq.gz,,NIPBL,,GSM2453302,cDNA,tamoxifen,1571400150,PRJNA360958,SAMN06217790,1036161068,SRX2485063,Ttr-cre/Esr1(+/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453302,SRP096571,C57BL/6J,liver
SRR5168174,WT,control,R2,.fastq.gz,WT_control_R2_SRR5168174.fastq.gz,,WT,,GSM2453292,cDNA,none,1677764450,PRJNA360958,SAMN06217792,1097108419,SRX2485053,Ttr-cre/Esr1(wt/wt);Nipbl(flox/flox),,Illumina HiSeq 2000,SINGLE,,Mus musculus,GSM2453292,SRP096571,C57BL/6J,liver
